# of turns,permittivity(sur),LS/LW,SEP,permittivity(sub),OD,HFSS
2.0,1.0,0.1,0.3,2.2,2.0,4.8808
2.0,1.0,0.1,0.3,2.2,4.0,1.6993
2.0,1.0,0.1,0.3,2.2,8.0,0.7503
2.0,1.0,0.1,0.3,2.2,16.0,0.301
2.0,1.0,0.1,0.3,2.2,32.0,0.16451
2.0,1.0,0.1,0.3,4.4,2.0,3.3788
2.0,1.0,0.1,0.3,4.4,4.0,1.3497
2.0,1.0,0.1,0.3,4.4,8.0,0.52202
2.0,1.0,0.1,0.3,4.4,16.0,0.2587
2.0,1.0,0.1,0.3,4.4,32.0,0.1260101
2.0,1.0,0.1,0.3,8.0,2.0,2.8773
2.0,1.0,0.1,0.3,8.0,4.0,1.0467
2.0,1.0,0.1,0.3,8.0,8.0,0.3778788
2.0,1.0,0.1,0.3,8.0,16.0,0.1976162
2.0,1.0,0.1,0.3,8.0,32.0,0.0942828
2.0,1.0,0.1,0.6,2.2,2.0,4.52
2.0,1.0,0.1,0.6,2.2,4.0,2.2045
2.0,1.0,0.1,0.6,2.2,8.0,0.7056
2.0,1.0,0.1,0.6,2.2,16.0,0.3501212
2.0,1.0,0.1,0.6,2.2,32.0,0.1563636
2.0,1.0,0.1,0.6,4.4,2.0,3.9657
2.0,1.0,0.1,0.6,4.4,4.0,1.4622
2.0,1.0,0.1,0.6,4.4,8.0,0.5653939
2.0,1.0,0.1,0.6,4.4,16.0,0.2884848
2.0,1.0,0.1,0.6,4.4,32.0,0.1221212
2.0,1.0,0.1,0.6,8.0,2.0,3.0271
2.0,1.0,0.1,0.6,8.0,4.0,1.1578
2.0,1.0,0.1,0.6,8.0,8.0,0.4611111
2.0,1.0,0.1,0.6,8.0,16.0,0.2209091
2.0,1.0,0.1,0.6,8.0,32.0,0.0940404
2.0,1.0,0.3,0.3,2.2,4.0,2.6303
2.0,1.0,0.3,0.3,2.2,8.0,0.8679
2.0,1.0,0.3,0.3,2.2,16.0,0.3351818
2.0,1.0,0.3,0.3,2.2,32.0,0.147798
2.0,1.0,0.3,0.3,4.4,4.0,1.9794
2.0,1.0,0.3,0.3,4.4,8.0,0.686667
2.0,1.0,0.3,0.3,4.4,16.0,0.28
2.0,1.0,0.3,0.3,4.4,32.0,0.1183333
2.0,1.0,0.3,0.3,8.0,4.0,1.4837
2.0,1.0,0.3,0.3,8.0,8.0,0.5123232
2.0,1.0,0.3,0.3,8.0,16.0,0.2050707
2.0,1.0,0.3,0.3,8.0,32.0,0.0951515
2.0,1.0,0.3,0.6,2.2,4.0,3.101
2.0,1.0,0.3,0.6,2.2,8.0,0.9667
2.0,1.0,0.3,0.6,2.2,16.0,0.3860606
2.0,1.0,0.3,0.6,2.2,32.0,0.1441515
2.0,1.0,0.3,0.6,4.4,4.0,2.4133
2.0,1.0,0.3,0.6,4.4,8.0,0.7993939
2.0,1.0,0.3,0.6,4.4,16.0,0.30333
2.0,1.0,0.3,0.6,4.4,32.0,0.1232323
2.0,1.0,0.3,0.6,8.0,4.0,1.8067
2.0,1.0,0.3,0.6,8.0,8.0,0.5933232
2.0,1.0,0.3,0.6,8.0,16.0,0.2366667
2.0,1.0,0.3,0.6,8.0,32.0,0.0969697
2.0,30.0,0.1,0.3,2.2,2.0,3.1455
2.0,30.0,0.1,0.3,2.2,4.0,1.2433
2.0,30.0,0.1,0.3,2.2,8.0,0.5373737
